MaxN

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
MNCB277_L416.avi	  20534	  11.4192			MNCB277	Todd											Nemipteridae	Scolopsis	bilineata	37347031	1	No
MNCB277_L416.avi	  17737	   9.8638			MNCB277	Todd											Pinguipedidae	Parapercis	clathrata	37390013	1	No
MNCB277_L416.avi	  34583	  19.2320			MNCB277	Todd											Plotosidae	Paraplotosus	butleri	37192020	1	No
MNCB277_L416.avi	  14514	   8.0714			MNCB277	Todd											Pomacentridae	Abudefduf	bengalensis	37372003	6	No
MNCB277_L416.avi	   6633	   3.6887			MNCB277	Todd											Pomacentridae	Abudefduf	sexfasciatus	37372011	5	No
MNCB277_L416.avi	  24713	  13.7432			MNCB277	Todd											Pomacentridae	Chromis	weberi	37372054	3	No
MNCB277_L416.avi	   8614	   4.7903			MNCB277	Todd											Pomacentridae	Neopomacentrus	azysron	37372087	41	No
MNCB277_L416.avi	  90528	  50.3437			MNCB277	Todd											Pomacentridae	Pomacentrus	coelestis	37372111	40	No
MNCB277_L416.avi	   5824	   3.2388			MNCB277	Todd											Pomacentridae	Pomacentrus	milleri	37372117	1	No
MNCB277_L416.avi	  16237	   9.0296			MNCB277	Todd											Pomacentridae	Stegastes	obreptus	37372136	1	No
MNCB277_L416.avi	  18936	  10.5305			MNCB277	Todd											Scaridae	Scarus	frenatus	37386016	1	No
MNCB277_L416.avi	 100893	  56.1078			MNCB277	Todd											Scaridae	Scarus	ghobban	37386001	1	No
MNCB277_L416.avi	  43491	  24.1859			MNCB277	Todd											Scaridae	Scarus	rivulatus	37386027	1	No
MNCB277_L416.avi	  47573	  26.4559			MNCB277	Todd											Scaridae	Scarus	rubroviolaceus	37386028	1	No
MNCB277_L416.avi	   6454	   3.5891			MNCB277	Todd											Scorpaenidae	Scorpaenopsis	sp10		1	No
MNCB277_L416.avi	  10257	   5.7040			MNCB277	Todd											Serranidae	Epinephelus	bilobatus	37311062	1	No
MNCB277_L416.avi	  14271	   7.9363			MNCB277	Todd											Serranidae	Epinephelus	rivulatus	37311022	2	No
MNCB277_L416.avi	   6954	   3.8672			MNCB277	Todd											Serranidae	Plectropomus	spp		2	No
MNCB277_L416.avi	   8584	   4.7737			MNCB277	Todd											Siganidae	Siganus	doliatus	37438009	1	No
MNCB277_L416.avi	  93527	  52.0115			MNCB277	Todd											Siganidae	Siganus	fuscescens	37438001	1	No
MNCB277_L416.avi	  81964	  45.5811			MNCB277	Todd											Zanclidae	Zanclus	cornutus	37437001	1	No
MNCB278_L418.avi	   6989	   3.8867			MNCB278	Molly											Acanthuridae	Acanthurus	grammoptilus	37437002	1	No
MNCB278_L418.avi	   6750	   3.7538			MNCB278	Molly											Acanthuridae	Ctenochaetus	striatus	37437022	1	No
MNCB278_L418.avi	  18315	  10.1852			MNCB278	Molly											Acanthuridae	Naso	annulatus	37437024	3	No
MNCB278_L418.avi	   8973	   4.9900			MNCB278	Molly											Chaetodontidae	Chaetodon	citrinellus	37365036	1	No
MNCB278_L418.avi	  82476	  45.8659			MNCB278	Molly											Labridae	Choerodon	cyanodus	37384072	1	No
MNCB278_L418.avi	   9235	   5.1357			MNCB278	Molly											Labridae	Coris	aygula	37384090	1	No
MNCB278_L418.avi	  10640	   5.9170			MNCB278	Molly											Labridae	Halichoeres	melanochir	37384115	1	No
MNCB278_L418.avi	 105759	  58.8138			MNCB278	Molly											Labridae	Hemigymnus	fasciatus	37384124	1	No
MNCB278_L418.avi	  55286	  30.7452			MNCB278	Molly											Labridae	Hologymnosus	annulatus	37384126	1	No
MNCB278_L418.avi	  23858	  13.2677			MNCB278	Molly											Labridae	Labroides	dimidiatus	37384028	2	No
MNCB278_L418.avi	 105420	  58.6253			MNCB278	Molly											Labridae	Stethojulis	bandanensis	37384154	1	No
MNCB278_L418.avi	  98235	  54.6296			MNCB278	Molly											Labridae	Thalassoma	lunare	37384167	10	No
MNCB278_L418.avi	  24035	  13.3661			MNCB278	Molly											Labridae	Thalassoma	lutescens	37384168	10	No
MNCB278_L418.avi	  72171	  40.1351			MNCB278	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	20	Yes
MNCB278_L418.avi	  20513	  11.4075			MNCB278	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	1	No
MNCB278_L418.avi	  53070	  29.5128			MNCB278	Molly											Lutjanidae	Lutjanus	bohar	37346029	1	Yes
MNCB278_L418.avi	  34078	  18.9512			MNCB278	Molly											Lutjanidae	Lutjanus	carponotatus	37346011	3	Yes
MNCB278_L418.avi	  24373	  13.5541			MNCB278	Molly											Lutjanidae	Lutjanus	fulviflamma	37346034	3	Yes
MNCB278_L418.avi	  79845	  44.4027			MNCB278	Molly											Mullidae	Parupeneus	cyclostomus	37355025	1	No
MNCB278_L418.avi	  50517	  28.0931			MNCB278	Molly											Mullidae	Parupeneus	multifasciatus	37355026	1	No
MNCB278_L418.avi	  42173	  23.4529			MNCB278	Molly											Muraenidae	Gymnothorax	undulatus	37060053	2	Yes
MNCB278_L418.avi	  17723	   9.8560			MNCB278	Molly											Nemipteridae	Scolopsis	bilineata	37347031	2	No
MNCB278_L418.avi	  95206	  52.9452			MNCB278	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	No
MNCB278_L418.avi	  46518	  25.8692			MNCB278	Molly											Pomacentridae	Neopomacentrus	azysron	37372087	9	No
MNCB278_L418.avi	 108870	  60.5439			MNCB278	Molly											Pomacentridae	Neopomacentrus	filamentosus	37372090	5	No
MNCB278_L418.avi	  42734	  23.7649			MNCB278	Molly											Pomacentridae	Pomacentrus	coelestis	37372111	2	No
MNCB278_L418.avi	  29348	  16.3208			MNCB278	Molly											Pomacentridae	Stegastes	obreptus	37372136	1	No
MNCB278_L418.avi	  42102	  23.4134			MNCB278	Molly											Serranidae	Cephalopholis	miniata	37311083	1	No
MNCB278_L418.avi	  70224	  39.0524			MNCB278	Molly											Serranidae	Epinephelus	malabaricus	37311150	1	No
MNCB278_L418.avi	  70224	  39.0524			MNCB278	Molly											Serranidae	Epinephelus	polyphekadion	37311047	1	No
MNCB278_L418.avi	  28452	  15.8225			MNCB278	Molly											Serranidae	Plectropomus	spp		1	No
MNCB280_L425.avi	  16376	   9.1069			MNCB280	Molly											Labridae	Cheilio	inermis	37384070	1	No
MNCB280_L425.avi	  14527	   8.0786			MNCB280	Molly											Labridae	Choerodon	cauteroma	37384005	1	No
MNCB280_L425.avi	   9815	   5.4582			MNCB280	Molly											Labridae	Choerodon	cyanodus	37384072	1	No
MNCB280_L425.avi	   5730	   3.1865			MNCB280	Molly											Labridae	Choerodon	schoenleinii	37384010	1	No
MNCB280_L425.avi	  10996	   6.1150			MNCB280	Molly											Labridae	Coris	caudimacula	37384092	2	No
MNCB280_L425.avi	   6858	   3.8138			MNCB280	Molly											Labridae	Halichoeres	nebulosus	37384118	3	No
MNCB280_L425.avi	  11149	   6.2001			MNCB280	Molly											Labridae	Labroides	dimidiatus	37384028	1	No
MNCB280_L425.avi	  77478	  43.0864			MNCB280	Molly											Labridae	Stethojulis	strigiventer	37384156	8	No
